,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros (tecnología),Total (tecnología),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros (velocidad),Total (velocidad)
157,2015,3,Misiones,59.921,31.635,46,5,15.0,91.622,958.0,9.809,51.234,17.367,11.654,559.0,43,0.0,91.624
158,2015,3,Neuquén,47.102,36.620,1.045,13.051,2.798,100.616,1.733,2.124,85.044,210.0,6.599,2.0,155,0.0,95.867
159,2015,3,Río Negro,66.806,27.130,917,3.415,1.346,99.614,3.372,4.457,88.691,99.0,3.826,1.0,62,0.0,100.508
160,2015,3,Salta,78.064,21.688,47,129,645.0,100.573,1.126,12.223,65.405,17.451,4.318,61.0,5,0.0,100.589
161,2015,3,San Juan,48.670,451,770,1.231,908.0,52.030,9.0,391.0,54.963,0.0,0.0,0.0,2,0.0,55.365
162,2015,3,San Luis,11.432,1.025,354,31,377.0,13.219,9.0,4.0,13.286,0.0,0.0,1.0,2,0.0,13.302
163,2015,3,Santa Cruz,15.540,2.718,396,5.226,2.391,26.271,190.0,25.0,32.266,2.0,0.0,0.0,0,0.0,32.483
164,2015,3,Santa Fe,337.042,209.673,4.169,4.426,1.428,556.738,6.767,80.817,363.177,59.531,42.021,2.32,1.133,0.0,555.766
165,2015,3,Santiago Del Estero,33.886,4.365,19,1.097,30.0,39.397,703.0,8.332,23.158,5.956,1.249,0.0,0,0.0,39.398
166,2015,3,Tierra Del Fuego,22.636,8.085,665,1,2.35,33.737,15.0,285.0,36.408,2.0,0.0,0.0,0,0.0,36.710
167,2015,3,Tucumán,142.925,1.135,116,88,50.0,144.314,107.0,23.687,83.654,29.998,6.232,623.0,0,0.0,144.301
168,2015,4,Buenos Aires,1.586.343,1.223.603,103.269,20.397,25.773,2.959.385,7.985,100.303,2.253.197,274.56,240.188,3.835,8.180,0.0,2.888.246
169,2015,4,Capital Federal,455.427,879.950,19.818,2.273,12.758,1.370.226,2.417,46.568,916.813,172.029,198.635,3.087,10.899,0.0,1.350.450
170,2015,4,Catamarca,26.180,242,15,1,34.0,26.472,15.0,6.513,14.484,4.106,1.313,39.0,1,0.0,26.471
171,2015,4,Chaco,56.818,29.456,186,52,41.0,86.553,194.0,9.593,46.771,18.608,10.092,1.136,159,0.0,86.553
172,2015,4,Chubut,43.968,811,916,13.521,4.803,64.019,625.0,5.774,71.881,168.0,0.0,0.0,0,0.0,78.448
173,2015,4,Corrientes,55.681,28.178,177,1.354,45.0,85.435,29.0,11.248,48.104,17.877,7.569,456.0,150,0.0,85.433
174,2015,4,Córdoba,353.530,266.062,480,5.613,385.0,626.070,148.0,63.746,427.471,62.989,67.151,3.336,1.088,0.0,625.929
175,2015,4,Entre Ríos,113.983,53.411,122,6.427,194.0,174.137,2.865,18.883,104.224,33.989,13.668,399.0,163,0.0,174.191
176,2015,4,Formosa,21.734,5.314,4,1.023,14.0,28.089,1.791,6.081,14.279,2.704,2.713,519.0,4,0.0,28.091
177,2015,4,Jujuy,32.934,6.933,22,- 0,35.0,39.924,2.551,8.876,21.867,5.044,1.587,0.0,0,0.0,39.925
178,2015,4,La Pampa,12.755,42.705,4.327,6.205,374.0,66.366,592.0,12.951,48.798,16.0,63.0,49.0,10,0.0,62.479
179,2015,4,La Rioja,16.886,- 0,16,2,28.0,16.932,10.0,3.638,9.127,2.937,1.215,2.0,3,0.0,16.932
180,2015,4,Mendoza,153.293,13.030,2.572,38,1.874,170.807,241.0,23.0,174.719,38.0,41.0,5.0,13,0.0,175.080
181,2015,4,Misiones,60.252,32.533,48,5,15.0,92.853,959.0,9.169,51.029,17.281,13.69,675.0,52,0.0,92.855
182,2015,4,Neuquén,51.680,38.902,1.048,12.934,2.852,107.416,1.727,2.061,89.678,455.0,7.934,9.0,175,0.0,102.039
183,2015,4,Río Negro,66.851,27.221,915,3.407,1.328,99.722,3.282,4.473,89.062,201.0,4.024,5.0,75,0.0,101.122
184,2015,4,Salta,78.744,22.446,47,129,554.0,101.920,1.122,11.387,65.677,17.139,6.507,99.0,5,0.0,101.936
